# 401 entries have an empty IconUrl.
# Grouped by category. Format: <ShortName>  [P=prefab, I=item]  <PrefabPath>

## Building  (5)
  [I]  door.hinged.arctic.garage                 door.hinged.arctic.garage
  [I]  door.hinged.zigg_security_gate            door.hinged.zigg_security_gate
  [I]  electrical.blocker.deployed               electrical.blocker.deployed
  [I]  ZiplineArrivalPoint                       ZiplineArrivalPoint
  [I]  ZiplineLaunchPoint                        ZiplineLaunchPoint

## Deployable  (4)
  [I]  crudeOutput                               crudeOutput
  [I]  electric.windmill.small                   electric.windmill.small
  [I]  Shopkeeper_VM_Invis_WaterWell             Shopkeeper_VM_Invis_WaterWell
  [I]  Vending_MapMarker                         Vending_MapMarker

## Furniture  (8)
  [I]  AssociatedSculptureStorage                AssociatedSculptureStorage
  [I]  CollectableCandy                          CollectableCandy
  [I]  electric.tablelamp.deployed               electric.tablelamp.deployed
  [I]  FuelStorage                               FuelStorage
  [I]  item.painted.storage                      item.painted.storage
  [I]  MessTableSeat                             MessTableSeat
  [I]  VineSwingMountable                        VineSwingMountable
  [I]  waterstorage                              waterstorage

## IO  (2)
  [I]  AlarmSound                                AlarmSound
  [I]  EngineSwitch                              EngineSwitch

## Loot Containers  (5)
  [I]  CrateMarker                               CrateMarker
  [I]  GenericMissionLootContainerReusable       GenericMissionLootContainerReusable
  [I]  loot_trash                                loot_trash
  [I]  survey_crater                             survey_crater
  [I]  survey_crater_oil                         survey_crater_oil

## Misc  (211)
  [I]  40mm_grenade_he                           40mm_grenade_he
  [I]  40mm_grenade_smoke                        40mm_grenade_smoke
  [I]  8xScope.entity                            8xScope.entity
  [I]  8xScope.vm.attachment                     8xScope.vm.attachment
  [I]  admin_invis_cube_3x3                      admin_invis_cube_3x3
  [I]  admin_invis_wall_01                       admin_invis_wall_01
  [I]  advancedblueprintfragment_pickup.entity   advancedblueprintfragment_pickup.entity
  [I]  AI_obstacle                               AI_obstacle
  [I]  ArcadeUser                                ArcadeUser
  [I]  basicblueprintfragment_pickup.entity      basicblueprintfragment_pickup.entity
  [I]  basicblueprintfragment_singlepickup.entity  basicblueprintfragment_singlepickup.entity
  [I]  bass.weapon                               bass.weapon
  [I]  BikeDriverSeat                            BikeDriverSeat
  [I]  BikePassengerSeat                         BikePassengerSeat
  [I]  binocular.entity                          binocular.entity
  [I]  block.stair.lshape                        block.stair.lshape
  [I]  block.stair.spiral                        block.stair.spiral
  [I]  block.stair.spiral.triangle               block.stair.spiral.triangle
  [I]  block.stair.ushape                        block.stair.ushape
  [I]  bobber.entity                             bobber.entity
  [I]  Bottest                                   Bottest
  [I]  br_sphere                                 br_sphere
  [I]  br_sphere_green                           br_sphere_green
  [I]  br_sphere_purple                          br_sphere_purple
  [I]  br_sphere_red                             br_sphere_red
  [I]  buried_items                              buried_items
  [I]  burstmodule.entity                        burstmodule.entity
  [I]  CandyProjectile                           CandyProjectile
  [I]  CargoMarker                               CargoMarker
  [I]  CH47Marker                                CH47Marker
  [I]  ChineseLantern_white.deployed             ChineseLantern_white.deployed
  [I]  CineMarkerA                               CineMarkerA
  [I]  CineMarkerB                               CineMarkerB
  [I]  CineMarkerC                               CineMarkerC
  [I]  clan_manager                              clan_manager
  [I]  CollectableCandy                          CollectableCandy
  [I]  community                                 community
  [I]  CopilotSeat                               CopilotSeat
  [I]  copy_paste                                copy_paste
  [I]  cowbell.weapon                            cowbell.weapon
  [I]  CraneOperator                             CraneOperator
  [I]  deathmatch                                deathmatch
  [I]  deep_sea_manager                          deep_sea_manager
  [I]  DeliveryDroneMarker                       DeliveryDroneMarker
  [I]  door.hinged.mboat.wood                    door.hinged.mboat.wood
  [I]  DriverSeat                                DriverSeat
  [I]  DynamicPreventBuilding                    DynamicPreventBuilding
  [I]  easter_basket.entity                      easter_basket.entity
  [I]  EasterEggProjectile                       EasterEggProjectile
  [I]  EggHunt                                   EggHunt
  [I]  electric.tablelamp.deployed               electric.tablelamp.deployed
  [I]  electric.waterwheel                       electric.waterwheel
  [I]  electrical.blocker.deployed               electrical.blocker.deployed
  [I]  ExplosionMarker                           ExplosionMarker
  [I]  ExplosiveSiegeDeployable                  ExplosiveSiegeDeployable
